tournament,round,home,away,goals_home,goals_away,extra_time_or_pen
2022,G,Qatar,Ecuador,0,2,
2022,G,Senegal,Netherlands,0,2,
2022,G,England,Iran,6,2,
2022,G,United States,Wales,1,1,
2022,G,Qatar,Senegal,1,3,
2022,G,Netherlands,Ecuador,1,1,
2022,G,Wales,Iran,0,2,
2022,G,England,United States,0,0,
2022,G,Ecuador,Senegal,1,2,
2022,G,Netherlands,Qatar,2,0,
2022,G,Wales,England,0,3,
2022,G,Iran,United States,0,1,
2022,G,Argentina,Saudi Arabia,1,2,
2022,G,Mexico,Poland,0,0,
2022,G,France,Australia,4,1,
2022,G,Tunisia,Denmark,0,0,
2022,G,Argentina,Mexico,2,0,
2022,G,Saudi Arabia,Poland,0,2,
2022,G,France,Denmark,2,1,
2022,G,Tunisia,Australia,0,1,
2022,G,Australia,Denmark,1,0,
2022,G,Poland,Argentina,0,2,
2022,G,Saudi Arabia,Mexico,1,2,
2022,G,Tunisia,France,1,0,
2022,G,Spain,Costa Rica,7,0,
2022,G,Germany,Japan,1,2,
2022,G,Japan,Costa Rica,0,1,
2022,G,Spain,Germany,1,1,
2022,G,Costa Rica,Japan,2,1,
2022,G,Germany,Costa Rica,4,2,
2022,G,Spain,Japan,1,2,
2022,G,Morocco,Croatia,0,0,
2022,G,Belgium,Canada,1,0,
2022,G,Belgium,Morocco,0,2,
2022,G,Croatia,Canada,4,1,
2022,G,Croatia,Belgium,0,0,
2022,G,Canada,Morocco,1,2,
2022,G,Brazil,Serbia,2,0,
2022,G,Switzerland,Cameroon,1,0,
2022,G,Switzerland,Brazil,1,0,
2022,G,Cameroon,Canada,1,0,
2022,G,Cameroon,Serbia,3,3,
2022,G,Serbia,Switzerland,2,3,
2022,G,Brazil,Cameroon,1,0,
2022,G,Portugal,Ghana,3,2,
2022,G,Uruguay,South Korea,0,0,
2022,G,South Korea,Ghana,2,3,
2022,G,Portugal,Uruguay,2,0,
2022,G,Ghana,Uruguay,0,2,
2022,G,South Korea,Portugal,2,1,
2022,R16,Netherlands,United States,3,1,
2022,R16,Argentina,Australia,2,1,ET
2022,R16,France,Poland,3,1,
2022,R16,England,Senegal,3,0,
2022,R16,Croatia,Japan,1,1,PEN:3-1
2022,R16,Brazil,South Korea,4,1,
2022,R16,Morocco,Spain,0,0,PEN:3-0
2022,R16,Portugal,Switzerland,6,1,
2022,QF,Croatia,Brazil,1,1,PEN:4-2
2022,QF,Netherlands,Argentina,2,2,PEN:4-3
2022,QF,Morocco,Portugal,0,1,
2022,QF,England,France,1,2,
2022,SF,Argentina,Croatia,3,0,
2022,SF,France,Morocco,2,0,
2022,3P,Croatia,Morocco,2,1,
2022,F,Argentina,France,3,3,PEN:4-2
