team,elo_pre,confederation,is_host
Russia,1660,UEFA,Y
Uruguay,1760,CONMEBOL,N
Egypt,1610,CAF,N
Saudi Arabia,1520,AFC,N
Portugal,1700,UEFA,N
Spain,1720,UEFA,N
Morocco,1610,CAF,N
Iran,1580,AFC,N
France,1710,UEFA,N
Australia,1620,AFC,N
Peru,1640,CONMEBOL,N
Denmark,1660,UEFA,N
Argentina,1700,CONMEBOL,N
Iceland,1560,UEFA,N
Croatia,1670,UEFA,N
Nigeria,1580,CAF,N
Brazil,1750,CONMEBOL,N
Switzerland,1680,UEFA,N
Costa Rica,1610,CONCACAF,N
Serbia,1640,UEFA,N
Germany,1730,UEFA,N
Mexico,1650,CONCACAF,N
Sweden,1600,UEFA,N
South Korea,1580,AFC,N
Belgium,1700,UEFA,N
Panama,1480,CONCACAF,N
Tunisia,1570,CAF,N
England,1680,UEFA,N
Poland,1610,UEFA,N
Senegal,1550,CAF,N
Colombia,1650,CONMEBOL,N
Japan,1600,AFC,N
